,Afghanistan
population_Grid,27574913.34569176
population_SA_Diesel,9270.164112779275
population_SA_PV,4412970.491730328
population_MG_Wind,56331.767809999685
population_MG_Diesel,41436.205659937346
population_MG_PV,12175108.99997029
population_MG_Hydro,145682.87789472932
new_connections_Grid,15158686.637367645
new_connections_SA_Diesel,9270.164112779275
new_connections_SA_PV,4412970.491730328
new_connections_MG_Wind,56331.767809999685
new_connections_MG_Diesel,41436.205659937346
new_connections_MG_PV,12175108.99997029
new_connections_MG_Hydro,145682.87789472932
capacity_Grid,961589.074614158
capacity_SA_Diesel,485.58002495510596
capacity_SA_PV,403821.9362523744
capacity_MG_Wind,6377.225166451893
capacity_MG_Diesel,2170.4679155205254
capacity_MG_PV,1167566.941917139
capacity_MG_Hydro,5885.8789970417165
investment_Grid,7964952399.473651
investment_SA_Diesel,1420995.0609165996
investment_SA_PV,2221020649.387912
investment_MG_Wind,26453284.640883945
investment_MG_Diesel,10025161.283928297
investment_MG_PV,5324134818.231471
investment_MG_Hydro,49856038.13401051
