,2025,2030
1.Population_Grid,11171822.07233281,15345665.818660725
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,11254334.181339856
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,9123622.07233281,4173843.746328077
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,11254334.181339856
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,136881.2440156874,51086.44986572289
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,53968.55137336324
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,1873182011.7811685,578357258.9080968
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,262050586.11926597
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.005399971425195352,0.0062651856569552146
Max_cluster_pop_2030,1254471.8528300335,1455470.4905906853
Min_cluster_area,0.012,0.012
Max_cluster_area,306.064,306.064
Min_existing_grid_dist,0.00036,0.00036
Max_existing_grid_dist,41.10056,41.10056
Min_road_dist,0.00013000000000000002,0.00013000000000000002
Max_road_dist,65.33239,65.33239
Min_investment_capita_cost,40.839859807018286,22.34080186903919
Max_investment_capita_cost,5460165.06169064,2574539.48958233
